symbol,name,exchange,type
RQI,Cohen & Steers Quality Income Realty Fund  Inc.,New York Stock Exchange,stock
BML-PH,Bank of America Corporation,New York Stock Exchange,stock
BLK,BlackRock  Inc.,New York Stock Exchange,stock
BMRA,Biomerica  Inc.,NASDAQ Capital Market,stock
BKH,Black Hills Corporation,New York Stock Exchange,stock
FTK,Flotek Industries  Inc.,New York Stock Exchange,stock
NEWT,Newtek Business Services Corp.,NASDAQ Global Market,stock
SST,System1  Inc.,New York Stock Exchange,stock
TPH,Tri Pointe Homes  Inc.,New York Stock Exchange,stock
AN,AutoNation  Inc.,New York Stock Exchange,stock
CAH,Cardinal Health  Inc.,New York Stock Exchange,stock
CSGS,CSG Systems International  Inc.,NASDAQ Global Select,stock
NFG,National Fuel Gas Company,New York Stock Exchange,stock
NSA,National Storage Affiliates Trust,New York Stock Exchange,stock
HST,Host Hotels & Resorts  Inc.,NASDAQ Global Select,stock
LTM,LATAM Airlines Group S.A.,New York Stock Exchange,stock
BF-A,Brown-Forman Corporation,New York Stock Exchange,stock
RYI,Ryerson Holding Corporation,New York Stock Exchange,stock
BRT,BRT Apartments Corp.,New York Stock Exchange,stock
CRI,Carter's  Inc.,New York Stock Exchange,stock
MYD,BlackRock MuniYield Fund  Inc.,New York Stock Exchange,stock
QLYS,Qualys  Inc.,NASDAQ Global Select,stock
STNG,Scorpio Tankers Inc.,New York Stock Exchange,stock
RIO,Rio Tinto Group,New York Stock Exchange,stock
CUBI-PF,Customers Bancorp  Inc.,New York Stock Exchange,stock
EYEN,Eyenovia  Inc.,NASDAQ Capital Market,stock
SQM,Sociedad Química y Minera de Chile S.A.,New York Stock Exchange,stock
COF-PJ,Capital One Financial Corporation,New York Stock Exchange,stock
QUAD,Quad/Graphics  Inc.,New York Stock Exchange,stock
AFRM,Affirm Holdings  Inc.,NASDAQ Global Select,stock
AIT,Applied Industrial Technologies  Inc.,New York Stock Exchange,stock
AL,Air Lease Corporation,New York Stock Exchange,stock
AGCO,AGCO Corporation,New York Stock Exchange,stock
FFIC,Flushing Financial Corporation,NASDAQ Global Select,stock
ACM,AECOM,New York Stock Exchange,stock
SPG,Simon Property Group  Inc.,New York Stock Exchange,stock
CTRN,Citi Trends  Inc.,NASDAQ Global Select,stock
LXP,LXP Industrial Trust,New York Stock Exchange,stock
ADSE,ADS-TEC Energy PLC,NASDAQ Capital Market,stock
PK,Park Hotels & Resorts Inc.,New York Stock Exchange,stock
SWX,Southwest Gas Holdings  Inc.,New York Stock Exchange,stock
NEE,NextEra Energy  Inc.,New York Stock Exchange,stock
HMN,Horace Mann Educators Corporation,New York Stock Exchange,stock
ASB,Associated Banc-Corp,New York Stock Exchange,stock
MBLY,Mobileye Global Inc.,NASDAQ Global Select,stock
QS,QuantumScape Corporation,New York Stock Exchange,stock
PTPI,Petros Pharmaceuticals  Inc.,NASDAQ Capital Market,stock
MS,Morgan Stanley,New York Stock Exchange,stock
QXO,QXO Inc,NASDAQ Capital Market,stock
ALL-PI,The Allstate Corporation,New York Stock Exchange,stock
CMC,Commercial Metals Company,New York Stock Exchange,stock
AXP,American Express Company,New York Stock Exchange,stock
